Species,State
Archihyoscyamus_leptocalyx,0
Hyoscyamus_desertorum,0
Hyoscyamus_aureus,0
Hyoscyamus_muticus,0
Hyoscyamus_pusillus,0
Hyoscyamus_albus,0
Hyoscyamus_niger,0
Hyoscyamus_boveanus,0
Hyoscyamus_turcomanicus,0
Atropa_komarovii,0
Atropa_belladonna,0
Sclerophylax_spinescens,0
Sclerophylax_adnatifolia,0
Sclerophylax_gilliesii,0
Nolana_sessiliflora,0
Nolana_scaposa,0
Nolana_coronata,0
Nolana_spathulata,0
Nolana_plicata,0
Nolana_inflata,0
Nolana_weissiana,0
Nolana_willeana,0
Nolana_gracillima,0
Nolana_chapiensis,0
Nolana_chancoana,0
Nolana_laxa,0
Nolana_humifusa,0
Nolana_lezamae,0
Nolana_aticoana,0
Nolana_urubambae,0
Nolana_coelestis,0
Nolana_carnosa,0
Nolana_rostrata,0
Nolana_filifolia,0
Nolana_adansonii,0
Nolana_arenicola,0
Nolana_galapagensis,0
Nolana_paradoxa,0
Nolana_acuminata,0
Nolana_rupicola,0
Nolana_elegans,0
Nolana_pterocarpa,0
Nolana_parviflora,0
Nolana_baccata,0
Nolana_stenophylla,0
Nolana_linearifolia,0
Nolana_balsamiflua,0
Nolana_aplocaryoides,0
Nolana_flaccida,0
Nolana_mollis,0
Nolana_sphaerophylla,0
Nolana_onoana,0
Nolana_villosa,0
Nolana_leptophylla,0
Nolana_albescens,0
Nolana_glauca,0
Nolana_sedifolia,0
Nolana_diffusa,0
Nolana_clivicola,0
Nolana_salsoloides,0
Nolana_ramosissima,0
Nolana_werdermannii,0
Nolana_incana,0
Nolana_peruviana,0
Nolana_tocopillensis,0
Nolana_divaricata,0
Nolana_crassulifolia,0
Nolana_gayana,0
Nolana_lycioides,0
Nolana_arequipensis,0
Nolana_tomentella,0
Nolana_pallida,0
Nolana_intonsa,0
Nolana_pallidula,0
Nolana_volcanica,0
Nolana_pilosa,0
Nolana_spergularioides,0
Nolana_ivaniana,0
Nolana_revoluta,0
Nolana_tovariana,0
Nolana_thinophila,0
Nolana_cerrateana,0
Nolana_johnstonii,0
Nolana_confinis,0
Nolana_tarapacana,0
Lycium_shockleyi,0
Lycium_pallidum,0
Lycium_macrodon,0
Lycium_puberulum,0
Lycium_cooperi,0
Grabowskia_duplicata,0
Grabowskia_obtusa,0
Grabowskia_boerhaviifolia,0
Grabowskia_glauca,0
Phrodus_bridgesii,0
Lycium_leiospermum,0
Lycium_brevipes,0
Lycium_carolinianum,0
Lycium_sandwicense,0
Lycium_tenuispinosum,0
Lycium_rachidocladum,0
Lycium_minimum,0
Lycium_athium,0
Lycium_exsertum,0
Lycium_fremontii,0
Lycium_parishii,0
Lycium_torreyi,0
Lycium_texanum,0
Lycium_berlandieri,0
Lycium_andersonii,0
Lycium_elongatum,0
Lycium_infaustum,0
Lycium_americanum,0
Lycium_cestroides,0
Lycium_morongii,0
Lycium_cuneatum,0
Lycium_californicum,0
Lycium_nodosum,0
Lycium_vimineum,0
Lycium_ciliatum,0
Lycium_chilense,0
Lycium_gilliesianum,0
Lycium_deserti,0
Lycium_stenophyllum,0
Lycium_fuscum,0
Lycium_minutifolium,0
Lycium_chanar,0
Lycium_ameghinoi,0
Lycium_acutifolium,0
Lycium_eenii,0
Lycium_shawii,0
Lycium_schweinfurthii,0
Lycium_bosciifolium,0
Lycium_villosum,0
Lycium_hirsutum,0
Lycium_truncatum,0
Lycium_cylindricum,0
Lycium_qingshuiheense,0
Lycium_dasystemum,0
Lycium_yunnanense,0
Lycium_barbarum,0
Lycium_chinense,0
Lycium_mascarenense,0
Lycium_ruthenicum,0
Lycium_tetrandrum,0
Lycium_europaeum,0
Lycium_depressum,0
Lycium_intricatum,0
Lycium_pumilum,0
Lycium_decumbens,0
Lycium_grandicalyx,0
Lycium_cinereum,0
Lycium_afrum,0
Lycium_ferocissimum,0
Lycium_horridum,0
Lycium_schizocalyx,0
Lycium_arenicola,0
Lycium_strandveldense,0
Lycium_amoenum,0
Lycium_gariepense,0
Lycium_australe,0
Lycium_tenue,0
Lycium_pilifolium,0
Lycium_oxycarpum,0
Phrodus_microphyllus,0
Exodeconus_miersii,0
Exodeconus_flavus,0
Nicandra_physalodes,0
Jaltomata_procumbens,0
Saracha_laxa,0
Jaltomata_bohsiana,0
Jaltomata_chihuahuensis,0
Jaltomata_grandiflora,0
Jaltomata_repandidentata,0
Jaltomata_darcyana,0
Jaltomata_hunzikeri,0
Jaltomata_oppositifolia,0
Jaltomata_salpoensis,0
Jaltomata_antillana,0
Jaltomata_auriculata,0
Jaltomata_tayabambae,0
Jaltomata_dendroidea,0
Jaltomata_ventricosa,0
Jaltomata_weberbaueri,0
Jaltomata_yacheri,0
Jaltomata_herrerae,0
Jaltomata_bernardelloana,0
Jaltomata_sagastegui,0
Jaltomata_aspera,0
Jaltomata_lanata,0
Jaltomata_lojae,0
Jaltomata_chotanae,0
Jaltomata_nigricolor,0
Jaltomata_paneroi,0
Jaltomata_cajamarca,0
Jaltomata_mionei,0
Jaltomata_umbellata,0
Jaltomata_truxillana,0
Jaltomata_lomana,0
Jaltomata_cajacayensis,0
Jaltomata_bicolor,0
Jaltomata_dentata,0
Jaltomata_biflora,0
Jaltomata_yungayensis,0
Jaltomata_viridiflora,0
Jaltomata_contumacensis,0
Jaltomata_leivae,0
Jaltomata_andersonii,0
Jaltomata_lezamae,0
Jaltomata_sinuosa,0
Solanum_trachytrichium,0
Solanum_mapiriense,0
Solanum_guineense,0
Solanum_allophyllum,0
Solanum_morellifolium,0
Solanum_clandestinum,0
Solanum_nemorense,0
Solanum_hoehnei,0
Solanum_reptans,0
Solanum_diploconos,0
Solanum_sciadostylis,0
Solanum_pinetorum,0
Solanum_latiflorum,0
Solanum_cacosmum,0
Solanum_exiguum,0
Solanum_corymbiflorum,0
Solanum_glaucophyllum,0
Solanum_cylindricum,0
Solanum_amotapense,0
Solanum_confusum,0
Solanum_stuckertii,0
Solanum_hibernum,0
Solanum_luteoalbum,0
Solanum_obliquum,0
Solanum_maternum,0
Solanum_unilobum,0
Solanum_betaceum,0
Solanum_roseum,0
Solanum_proteanthum,0
Solanum_sibundoyense,0
Solanum_occultum,0
Solanum_circinatum,0
Solanum_tenuisetosum,0
Solanum_tegore,0
Solanum_cajanumense,0
