species,Numb,arrangment,inflType,perColor,vegHabitLike,APerianthLengthCm,inflLengthCm,numberCincinnalBracts,ovaryLengthMm,totalHtm,bWidthCm,bladeLengthCm
gaiboriana,89-2941,spiral,erect,white_green,musa,3.8333333333333335,16.666666666666668,4.333333333333333,4,1.75,19.666666666666668,57.666666666666664
reptans,91-3380,distichous,pendent,orange_yellow_white,musa,3.0666666666666664,38.166666666666664,14.333333333333334,3.6666666666666665,1.6666666666666667,9.333333333333334,41.666666666666664
aristeguietae,94-5307,distichous,erect,white_green,musa,4.75,39.5,13.5,6.5,2.75,35.5,105.5
trichocarpa,92-3491,spiral,pendent,yellow,musa,4.1647058823529415,34.294117647058826,6.882352941176471,5.764705882352941,2.514705882352941,19.705882352941178,95.76470588235294
colgantea,77-878C,spiral,pendent,yellow,musa,3.5,26,5.666666666666667,3,2.066666666666667,15.166666666666666,80.66666666666667
talamancana,77-791C,spiral,pendent,white_green,musa,3.875,40.25,7.75,5.25,3.625,24.375,169
apparicioi,94-5309,distichous,erect,0,zingiber,3.5,10,4,5,1,12.5,26
dielsiana,96-5671,distichous,pendent,yellow,musa,4.8,57.714285714285715,16.714285714285715,6.857142857142857,2.642857142857143,23.285714285714285,116.42857142857143
laxa,95-5442,spiral,pendent,yellow,musa,1.7333333333333334,17.666666666666668,5.666666666666667,2.6666666666666665,2.8333333333333335,16.666666666666668,96.33333333333333
excelsa,96-5687,distichous,pendent,yellow,musa,3.35,50,10,4.5,5.75,27.5,103.5
paka,83-1480,spiral,erect,yellow_green,musa,4.55,38.333333333333336,11.333333333333334,11.166666666666666,4.5,37.333333333333336,136.5
sylvestris,96-5589,distichous,erect,yellow_green,canna,3.0666666666666664,10.333333333333334,3.1666666666666665,3,2,3.533333333333333,27.333333333333332
tarumaensis,91-3226,distichous,erect,yellow,0,0,0,0,0,1.8166666666666667,0,0
plowmaniana,97-5828,spiral_to_distichous,pendent,0,canna,0,0,0,0,2,0,0
danielsiana,79-1097C,spiral,pendent,orange_yellow_white,musa,1.1128571428571428,79.71428571428571,21.428571428571427,8,5.714285714285714,45.285714285714285,208.57142857142858
flabellata,106,distichous,0,green,musa,4.5,46,8,10,3.5,39,110
signa-hispanica,95-5405,spiral,pendent,orange_yellow_white,canna,2.2285714285714286,22.428571428571427,5.642857142857143,3.4285714285714284,1.9642857142857142,9.285714285714286,32.857142857142854
platystachys,92-3544,spiral,pendent,yellow,musa,4.25,54.25,14.75,6.5,3.5625,32,120.375
magnifica,80-1246B,spiral,pendent,orange_yellow_white,musa,4.8,71,19.666666666666668,7.833333333333333,4.416666666666667,41.333333333333336,127.5
necrobracteata,80-1158C,spiral,pendent,yellow,musa,4.0285714285714285,43.57142857142857,10.142857142857142,4.714285714285714,3.857142857142857,25.857142857142858,178.57142857142858
ramonensis,89-2753,spiral_to_distichous,pendent,orange_yellow_white,musa,4.46,64.13333333333334,19.933333333333334,7.533333333333333,4.383333333333334,40.8,138.46666666666667
robusta,121,0,pendent,0,musa,4.4,40,13,4,3.5,29,142.5
cordata,95-5460,distichous,erect,green,zingiber,2.9222222222222225,10.444444444444445,3.6666666666666665,3.111111111111111,4,5.944444444444445,18.944444444444443
imbricata,94-4105,spiral,erect,green,musa,1.16,12.8,8.6,2,4,17.4,97
nutans,94-4906,spiral,pendent,yellow,musa,4.4071428571428575,27.857142857142858,8.357142857142858,5.642857142857143,1.8392857142857142,21.964285714285715,65.85714285714286
latispatha,95-5432,spiral,erect,yellow_green,musa,4.089655172413793,34.827586206896555,9.96551724137931,7.275862068965517,3.7482758620689656,23.71379310344828,95.03448275862068
collinsiana,77-758C,spiral,pendent,yellow,musa,5.333333333333335,58,12.083333333333334,7.5,4.291666666666667,42.833333333333336,155.83333333333334
secunda,89-2810,distichous,pendent,yellow,musa,4.859999999999999,35.7,8.7,6.7,2.2,27.3,89.9
sarapiquensis,83-1580,spiral,erect,yellow,musa,4.433333333333334,39,8.666666666666666,5.333333333333333,2.4166666666666665,25,85
xanthovillosa,83-1564,spiral_to_distichous,pendent,orange_yellow_white,musa,5.225,82.25,31,7.75,4.8125,51.25,211.25
atropurpurea,97-5796,distichous,erect,white_green,musa,22.066666666666666,17.333333333333332,7.666666666666667,8.333333333333334,2.15,30.333333333333332,93
barryana,82-1348,distichous,erect,yellow,0,5,17,7,6,2,37,100
af,82-1349,distichous,erect,0,musa,0,15,0,0,1.75,35,90
faunorum,82-1412,spiral,erect,orange_yellow_white,0,3.5,12,5,6,1.75,10,47
